Date,Price,Open,High,Low,Vol.,Change %
3/15/2011,"5,695.28","5,672.30","5,713.30","5,591.00",0,-1.38
3/14/2011,"5,775.24","5,813.30","5,843.00","5,768.30",0,-0.92
3/11/2011,"5,828.67","5,802.80","5,841.50","5,795.30",0,-0.28
3/10/2011,"5,845.29","5,883.90","5,906.80","5,830.30",0,-1.55
3/9/2011,"5,937.30","5,975.80","5,975.80","5,920.80",0,-0.41
3/8/2011,"5,961.82","5,987.00","6,000.50","5,909.80",0,-0.2
3/7/2011,"5,973.78","5,975.80","6,044.50","5,964.80",0,-0.28
3/4/2011,"5,990.39","6,021.70","6,052.30","5,982.50",0,-0.24
3/3/2011,"6,005.09","5,948.50","6,017.50","5,918.00",0,1.52
3/2/2011,"5,914.89","5,881.60","5,940.80","5,863.30",0,-0.65
3/1/2011,"5,953.87","6,032.30","6,041.50","5,925.50",0,-0.67
2/28/2011,"5,994.01","6,001.90","6,023.00","5,961.00",0,-0.12
2/25/2011,"6,001.20","5,942.20","6,011.30","5,909.30",0,1.37
2/24/2011,"5,919.98","5,864.60","5,937.00","5,856.50",0,-0.06
2/23/2011,"5,923.53","5,969.70","5,982.30","5,913.50",0,-1.22
2/22/2011,"5,996.76","5,983.00","6,027.80","5,922.80",0,-0.3
2/21/2011,"6,014.80","6,070.80","6,106.50","6,010.80",0,-1.12
2/18/2011,"6,082.99","6,091.00","6,096.00","6,046.80",0,-0.07
2/17/2011,"6,087.38","6,088.30","6,099.00","6,066.30",0,0.03
2/16/2011,"6,085.27","6,048.50","6,094.30","6,042.30",0,0.8
2/15/2011,"6,037.08","6,051.80","6,072.30","6,021.30",0,-0.44
2/14/2011,"6,063.56","6,077.00","6,091.30","6,040.80",0,0.01
2/11/2011,"6,062.90","6,000.40","6,069.80","5,970.80",0,0.71
2/10/2011,"6,020.01","6,039.00","6,044.30","5,984.00",0,-0.53
2/9/2011,"6,052.29","6,075.30","6,079.50","6,047.80",0,-0.64
2/8/2011,"6,091.33","6,044.30","6,091.33","6,031.80",0,0.78
2/7/2011,"6,044.16","6,011.10","6,054.80","5,996.30",0,0.78
2/4/2011,"5,997.38","6,000.50","6,024.50","5,985.30",0,0.23
2/3/2011,"5,983.34","5,989.70","5,996.30","5,950.50",0,-0.22
2/2/2011,"5,996.56","5,978.30","6,020.00","5,968.50",0,0.65
2/1/2011,"5,957.82","5,901.20","5,964.50","5,872.00",0,1.62
1/31/2011,"5,862.94","5,855.00","5,881.50","5,814.30",0,-0.31
1/28/2011,"5,881.37","5,950.50","5,950.90","5,875.50",0,-1.4
1/27/2011,"5,965.08","5,969.80","5,997.80","5,947.80",0,-0.21
1/26/2011,"5,977.63","5,946.80","6,002.50","5,944.80",0,1.01
1/25/2011,"5,917.71","5,962.40","5,964.40","5,903.30",0,-0.44
1/24/2011,"5,943.85","5,901.60","5,960.50","5,886.50",0,0.81
1/21/2011,"5,896.25","5,879.80","5,939.50","5,871.50",0,0.48
1/20/2011,"5,867.91","5,961.30","5,966.00","5,863.80",0,-1.82
1/19/2011,"5,976.70","6,076.20","6,077.30","5,972.30",0,-1.32
1/18/2011,"6,056.43","6,002.50","6,066.80","6,002.50",0,1.18
1/17/2011,"5,985.70","6,013.60","6,018.30","5,974.30",0,-0.04
1/14/2011,"5,988.12","6,014.80","6,031.80","5,947.50",0,-0.59
1/13/2011,"6,023.88","6,047.80","6,056.50","6,004.00",0,-0.44
1/12/2011,"6,050.72","6,024.30","6,050.72","6,019.80",0,0.61
1/11/2011,"6,014.03","5,986.10","6,036.80","5,978.80",0,0.97
1/10/2011,"5,956.30","5,978.50","5,980.80","5,938.50",0,-0.47
1/7/2011,"5,984.33","6,009.50","6,021.30","5,970.00",0,-0.58
1/6/2011,"6,019.51","6,036.70","6,089.30","6,002.80",0,-0.4
1/5/2011,"6,043.86","6,011.50","6,043.86","5,962.00",0,0.5
1/4/2011,"6,013.87","5,990.00","6,049.50","5,979.80",0,1.93
12/31/2010,"5,899.94","5,979.80","5,980.80","5,899.94",0,-1.19
12/30/2010,"5,971.01","5,993.80","6,007.80","5,962.80",0,-0.42
12/29/2010,"5,996.36","5,995.50","6,019.00","5,973.30",0,-0.21
12/24/2010,"6,008.92","5,998.30","6,008.92","5,977.80",0,0.21
12/23/2010,"5,996.07","5,997.40","6,001.80","5,981.50",0,0.21
12/22/2010,"5,983.49","5,954.00","5,992.50","5,934.00",0,0.53
12/21/2010,"5,951.80","5,924.40","5,954.00","5,920.30",0,0.98
12/20/2010,"5,894.10","5,876.30","5,915.80","5,865.30",0,0.38
12/17/2010,"5,871.75","5,895.30","5,905.00","5,858.30",0,-0.16
12/16/2010,"5,881.12","5,884.80","5,908.00","5,862.00",0,-0.02
12/15/2010,"5,882.18","5,866.80","5,899.00","5,858.50",0,-0.15
12/14/2010,"5,891.21","5,859.00","5,891.21","5,846.00",0,0.52
12/13/2010,"5,860.75","5,837.30","5,873.80","5,827.80",0,0.82
12/10/2010,"5,812.95","5,823.30","5,826.00","5,793.50",0,0.09
12/9/2010,"5,807.96","5,823.80","5,838.80","5,797.50",0,0.23
12/8/2010,"5,794.53","5,782.50","5,824.30","5,773.80",0,-0.24
12/7/2010,"5,808.45","5,791.30","5,850.80","5,769.50",0,0.66
12/6/2010,"5,770.28","5,761.60","5,785.80","5,727.80",0,0.24
12/3/2010,"5,756.66","5,764.60","5,785.80","5,719.50",0,-0.19
12/2/2010,"5,767.56","5,678.80","5,774.30","5,649.80",0,2.22
12/1/2010,"5,642.50","5,569.80","5,657.80","5,559.50",0,2.07
11/30/2010,"5,528.27","5,572.70","5,598.00","5,518.30",0,-0.74
11/29/2010,"5,569.73","5,698.10","5,724.50","5,562.00",0,-1.75
11/26/2010,"5,668.70","5,663.20","5,696.50","5,597.50",0,-0.53
11/25/2010,"5,698.93","5,666.30","5,709.50","5,653.50",0,0.74
11/24/2010,"5,657.10","5,608.30","5,665.80","5,573.30",0,1.36
11/23/2010,"5,581.28","5,640.60","5,663.30","5,581.28",0,-1.75
11/22/2010,"5,680.83","5,782.50","5,784.50","5,666.80",0,-0.91
11/19/2010,"5,732.83","5,777.70","5,777.70","5,682.80",0,-0.62
11/18/2010,"5,768.71","5,730.80","5,785.00","5,718.30",0,1.34
11/17/2010,"5,692.56","5,654.80","5,705.30","5,653.80",0,0.03
11/16/2010,"5,690.80","5,785.70","5,789.30","5,680.80",0,-2.23
11/15/2010,"5,820.41","5,780.10","5,834.50","5,753.50",0,0.41
11/12/2010,"5,796.87","5,742.50","5,831.30","5,711.00",0,-0.32
11/11/2010,"5,815.23","5,838.80","5,841.80","5,791.30",0,-0.03
11/10/2010,"5,816.94","5,858.40","5,868.00","5,794.00",0,-0.99
11/9/2010,"5,875.19","5,841.20","5,901.80","5,841.20",0,0.43
11/8/2010,"5,849.96","5,871.50","5,882.30","5,839.50",0,-0.43
11/5/2010,"5,875.35","5,881.00","5,896.50","5,831.80",0,0.21
11/4/2010,"5,862.79","5,798.20","5,876.30","5,797.40",0,1.98
11/3/2010,"5,748.97","5,762.20","5,773.30","5,728.30",0,-0.15
11/2/2010,"5,757.43","5,688.90","5,773.30","5,685.00",0,1.1
11/1/2010,"5,694.62","5,711.70","5,734.80","5,665.80",0,0.34
10/29/2010,"5,675.16","5,662.30","5,700.00","5,645.80",0,-0.05
10/28/2010,"5,677.89","5,684.80","5,713.00","5,653.30",0,0.56
10/27/2010,"5,646.02","5,674.80","5,690.50","5,629.30",0,-1.07
10/26/2010,"5,707.30","5,735.80","5,746.30","5,674.80",0,-0.78
10/25/2010,"5,751.98","5,780.10","5,791.80","5,750.30",0,0.18
